source_genre,album_count,track_count,sources
1996,1,10,musicbrainz
2 step,1,9,musicbrainz
aaron,1,15,discogs;musicbrainz
abstract,33,370,discogs;musicbrainz
abstract hip hop,7,135,discogs;musicbrainz
acid,13,72,discogs;musicbrainz
acid breaks,1,12,musicbrainz
acid house,1,5,discogs;musicbrainz
acid jazz,3,41,discogs;musicbrainz
acid rock,6,58,discogs;musicbrainz
acid techno,12,87,discogs;musicbrainz
acoustic,20,207,discogs;musicbrainz
adult alternative pop,1,12,musicbrainz
adult contemporary,4,51,discogs;musicbrainz
african,4,30,discogs;musicbrainz
afro cuban,1,4,discogs
afro cuban jazz,2,27,discogs;musicbrainz
afro house,1,16,musicbrainz
afro jazz,4,39,discogs;musicbrainz
afrobeat,19,107,discogs;musicbrainz
afrobeats,2,29,musicbrainz
album rock,6,62,discogs;musicbrainz
alt country,1,11,musicbrainz
alt pop,6,67,discogs;musicbrainz
alt rock,2,16,musicbrainz
alternative,14,198,discogs;musicbrainz
alternative and punk,15,218,discogs;musicbrainz
alternative country,14,155,discogs;musicbrainz
alternative dance,10,105,discogs;musicbrainz
alternative folk,7,86,discogs;musicbrainz
alternative hip hop,12,208,discogs;musicbrainz
alternative metal,3,41,discogs;musicbrainz
alternative pop,22,298,discogs;musicbrainz
alternative punk,8,96,discogs;musicbrainz
alternative r and b,26,359,discogs;musicbrainz
alternative rap,1,16,discogs;musicbrainz
alternative rock,225,3040,discogs;musicbrainz
am pop,3,39,musicbrainz
ambient,293,2796,discogs;musicbrainz
ambient americana,4,31,musicbrainz
ambient dub,1,8,musicbrainz
ambient pop,12,140,discogs;musicbrainz
ambient techno,6,51,discogs;musicbrainz
american primitive guitar,1,4,discogs;musicbrainz
americana,13,168,discogs;musicbrainz
américain,2,15,musicbrainz
anarcho punk,1,10,musicbrainz
and country,96,982,discogs;musicbrainz
animal on cover,2,21,discogs;musicbrainz
aor,3,31,discogs;musicbrainz
arena rock,5,47,discogs;musicbrainz
art pop,41,499,discogs;musicbrainz
art punk,16,276,discogs;musicbrainz
art rock,89,1029,discogs;musicbrainz
artist on cover,2,26,discogs;musicbrainz
atmospheric drum and bass,1,10,musicbrainz
avant folk,4,50,discogs;musicbrainz
avant garde,28,309,discogs;musicbrainz
avant garde jazz,20,112,discogs;musicbrainz
avant garde pop,2,29,discogs;musicbrainz
avantgarde,13,127,discogs;musicbrainz
avocado on cover,1,12,musicbrainz
balearic,4,34,discogs;musicbrainz
ballad,20,207,discogs;musicbrainz
ballroom house,1,16,musicbrainz
baroque,3,42,discogs;musicbrainz
baroque pop,18,269,discogs;musicbrainz
bass music,2,22,discogs;musicbrainz
bassline,1,9,musicbrainz
beat music,5,69,musicbrainz
bebop,2,19,discogs;musicbrainz
bedroom pop,20,241,discogs;musicbrainz
berlin school,5,45,discogs;musicbrainz
big band,2,28,discogs;musicbrainz
bitpop,1,12,discogs;musicbrainz
bittersweet,1,14,musicbrainz
black metal,1,12,musicbrainz
blaxploitation,1,14,discogs;musicbrainz
blue eyed soul,3,30,discogs;musicbrainz
bluegrass,1,27,discogs;musicbrainz
blues,16,197,discogs;musicbrainz
blues rock,16,216,discogs;musicbrainz
boogie,5,53,discogs;musicbrainz
boom bap,14,250,discogs;musicbrainz
bop,3,20,discogs;musicbrainz
bossa nova,7,69,discogs;musicbrainz
bossanova,2,18,discogs;musicbrainz
bowie,1,10,discogs;musicbrainz
boy band,1,12,discogs;musicbrainz
braindance,1,11,musicbrainz
breakbeat,8,60,discogs;musicbrainz
breakcore,2,22,musicbrainz
breaks,4,27,discogs;musicbrainz
brit pop,1,16,musicbrainz
british blues,3,33,discogs;musicbrainz
british folk rock,2,20,discogs;musicbrainz
british rhythm and blues,1,14,musicbrainz
britpop,3,76,musicbrainz
broken beat,5,44,discogs;musicbrainz
broken transmission,1,17,musicbrainz
brostep,1,9,discogs;musicbrainz
bubblegum,3,36,discogs;musicbrainz
bubblegum bass,4,43,discogs;musicbrainz
bubblegum pop,1,12,discogs;musicbrainz
c86,1,16,musicbrainz
cat on cover,1,9,musicbrainz
chamber folk,9,91,discogs;musicbrainz
chamber jazz,1,6,musicbrainz
chamber music,1,2,musicbrainz
chamber pop,35,495,discogs;musicbrainz
chanson,1,11,discogs;musicbrainz
chicago soul,1,10,musicbrainz
chillout,5,47,discogs;musicbrainz
chillwave,12,174,discogs;musicbrainz
christmas,1,12,musicbrainz
christmas music,6,174,discogs;musicbrainz
city pop,3,37,discogs;musicbrainz
classic rock,24,298,discogs;musicbrainz
classic soul r b,1,21,musicbrainz
classical,50,496,discogs;musicbrainz
classical crossover,6,82,discogs;musicbrainz
cloud rap,2,26,musicbrainz
club,2,35,discogs;musicbrainz
coldwave,1,16,discogs;musicbrainz
college rock,1,27,musicbrainz
comedy rock,1,9,musicbrainz
conscious,22,361,discogs;musicbrainz
conscious hip hop,13,209,discogs;musicbrainz
contemporary classical,4,48,discogs;musicbrainz
contemporary folk,20,224,discogs;musicbrainz
contemporary jazz,43,444,discogs;musicbrainz
contemporary pop,2,23,discogs;musicbrainz
contemporary r and b,63,883,discogs;musicbrainz
contemporary r b,1,18,discogs;musicbrainz
cool jazz,14,116,discogs;musicbrainz
country,6,69,discogs;musicbrainz
country folk,1,9,discogs;musicbrainz
country pop,2,39,discogs;musicbrainz
country rock,13,151,discogs;musicbrainz
country soul,1,27,discogs;musicbrainz
crossover jazz,1,13,musicbrainz
dance,4,43,discogs;musicbrainz
dance pop,38,452,discogs;musicbrainz
dance punk,8,82,discogs;musicbrainz
dance punk revival,1,5,discogs;musicbrainz
dance rock,4,35,discogs;musicbrainz
dancehall,3,39,discogs;musicbrainz
dark jazz,1,12,discogs
dark wave,2,23,discogs;musicbrainz
darksynth,1,10,discogs;musicbrainz
darkwave,1,10,musicbrainz
deconstructed club,6,73,discogs;musicbrainz
deep funk,1,16,musicbrainz
deep house,16,123,discogs;musicbrainz
deep soul,4,46,discogs;musicbrainz
dirty south,1,16,musicbrainz
disco,30,334,discogs;musicbrainz
doo wop,2,24,discogs;musicbrainz
doom metal,3,35,discogs;musicbrainz
downtempo,74,839,discogs;musicbrainz
dream pop,91,1104,discogs;musicbrainz
drill and bass,5,56,discogs;musicbrainz
drone,46,405,discogs;musicbrainz
drugs,1,14,musicbrainz
drum and bass,8,98,discogs;musicbrainz
drum n bass,3,33,discogs;musicbrainz
dub,6,44,discogs;musicbrainz
dub techno,8,34,discogs;musicbrainz
dubstep,4,42,discogs;musicbrainz
early pop,1,24,musicbrainz
east coast hip hop,9,144,discogs;musicbrainz
easy listening,5,79,discogs;musicbrainz
ebm,1,10,discogs;musicbrainz
eclectic,1,14,musicbrainz
edm,3,51,discogs;musicbrainz
electro,46,378,discogs;musicbrainz
electro disco,1,14,discogs;musicbrainz
electro house,3,48,discogs;musicbrainz
electro industrial,1,10,discogs;musicbrainz
electroacoustic,5,32,discogs;musicbrainz
electronic,679,7096,discogs;musicbrainz
electronica,12,149,discogs;musicbrainz
electronica dance,2,24,discogs;musicbrainz
electropop,16,199,discogs;musicbrainz
emo,15,257,discogs;musicbrainz
emo pop,2,33,discogs;musicbrainz
emo rap,1,13,musicbrainz
emocore,2,40,musicbrainz
epic collage,1,13,musicbrainz
ethereal,15,137,discogs;musicbrainz
ethereal wave,4,43,discogs;musicbrainz
europop,3,32,discogs;musicbrainz
exotica,1,12,discogs;musicbrainz
experimental,286,3071,discogs;musicbrainz
experimental big band,1,5,musicbrainz
experimental electronic,5,59,discogs;musicbrainz
experimental hip hop,9,121,discogs;musicbrainz
experimental rock,52,580,discogs;musicbrainz
female vocalist,1,18,discogs;musicbrainz
field recording,1,11,musicbrainz
flamenco pop,1,15,musicbrainz
folk,128,1350,discogs;musicbrainz
folk baroque,1,11,musicbrainz
folk metal,1,16,musicbrainz
folk pop,7,86,discogs;musicbrainz
folk punk,1,12,musicbrainz
folk rock,81,946,discogs;musicbrainz
folktronica,9,105,discogs;musicbrainz
footwork,2,21,discogs;musicbrainz
freak folk,3,37,discogs;musicbrainz
free folk,1,12,discogs;musicbrainz
free improvisation,5,34,discogs;musicbrainz
free jazz,15,74,discogs;musicbrainz
freestyle,1,9,musicbrainz
funk,160,1840,discogs;musicbrainz
funk metal,1,12,musicbrainz
funk rock,6,69,discogs;musicbrainz
funk soul,13,157,discogs;musicbrainz
funktronica,3,49,musicbrainz
funky house,2,19,discogs;musicbrainz
fusion,25,176,discogs;musicbrainz
future funk,3,30,discogs;musicbrainz
future jazz,9,104,discogs;musicbrainz
future pop,1,20,discogs;musicbrainz
g funk,1,16,discogs;musicbrainz
gangsta rap,2,39,musicbrainz
garage house,1,12,discogs;musicbrainz
garage psych,9,96,musicbrainz
garage punk,16,214,discogs;musicbrainz
garage rock,48,672,discogs;musicbrainz
garage rock revival,6,71,discogs;musicbrainz
glam,6,68,discogs;musicbrainz
glam rock,8,85,discogs;musicbrainz
glitch,19,222,discogs;musicbrainz
glitch pop,3,35,discogs;musicbrainz
go go,1,27,discogs;musicbrainz
gospel,4,50,discogs;musicbrainz
goth rock,1,28,musicbrainz
gothic,1,7,discogs;musicbrainz
gothic rock,1,28,musicbrainz
grunge,13,178,discogs;musicbrainz
happy hardcore,1,13,discogs;musicbrainz
hard bop,29,186,discogs;musicbrainz
hard rock,19,191,discogs;musicbrainz
hardcore,9,103,discogs;musicbrainz
hardcore hip hop,9,95,discogs;musicbrainz
hardcore punk,15,305,discogs;musicbrainz
hauntology,1,23,discogs;musicbrainz
heavy metal,15,163,discogs;musicbrainz
heavy psych,4,41,musicbrainz
hip hop,106,1493,discogs;musicbrainz
hip hop soul,1,13,discogs;musicbrainz
hip house,3,41,discogs;musicbrainz
holiday,3,33,discogs;musicbrainz
horrorcore,1,18,discogs;musicbrainz
house,32,328,discogs;musicbrainz
hyperpop,9,98,discogs;musicbrainz
hypnagogic pop,22,294,discogs;musicbrainz
idm,63,709,discogs;musicbrainz
illbient,1,11,discogs;musicbrainz
impressionist,1,20,discogs;musicbrainz
indie,16,210,discogs;musicbrainz
indie folk,60,748,discogs;musicbrainz
indie pop,206,2545,discogs;musicbrainz
indie rock,642,7877,discogs;musicbrainz
indie surf,3,34,discogs;musicbrainz
indietronica,26,300,discogs;musicbrainz
industrial,6,92,discogs;musicbrainz
industrial metal,1,10,discogs;musicbrainz
industrial rock,1,10,discogs;musicbrainz
instrumental,41,555,discogs;musicbrainz
instrumental hip hop,6,135,discogs;musicbrainz
instrumental jazz,6,60,discogs;musicbrainz
instrumental rock,1,9,discogs;musicbrainz
italo disco,2,21,discogs;musicbrainz
j dilla,1,12,discogs;musicbrainz
j pop,7,75,discogs;musicbrainz
j rock,1,9,discogs;musicbrainz
jam band,1,14,musicbrainz
jangle pop,19,236,discogs;musicbrainz
jazz,297,2734,discogs;musicbrainz
jazz blues,1,12,musicbrainz
jazz funk,34,310,discogs;musicbrainz
jazz fusion,14,124,discogs;musicbrainz
jazz instrument,2,11,musicbrainz
jazz pop,9,95,discogs;musicbrainz
jazz rap,14,234,discogs;musicbrainz
jazz rock,15,168,discogs;musicbrainz
jazzy hip hop,15,212,discogs;musicbrainz
jungle,6,67,discogs;musicbrainz
krautrock,24,249,discogs;musicbrainz
latin,14,144,discogs;musicbrainz
latin jazz,5,34,discogs;musicbrainz
leftfield,46,482,discogs;musicbrainz
lo fi,133,1661,discogs;musicbrainz
lounge,6,63,discogs;musicbrainz
madchester,1,12,discogs;musicbrainz
makina,1,13,discogs;musicbrainz
math pop,2,15,discogs;musicbrainz
math rock,16,267,discogs;musicbrainz
merseybeat,3,41,musicbrainz
metal,4,39,discogs;musicbrainz
miami bass,1,10,musicbrainz
microhouse,1,16,discogs;musicbrainz
microsound,1,15,musicbrainz
midtempo bass,1,10,discogs;musicbrainz
midwest emo,3,51,discogs;musicbrainz
miles davis,1,11,discogs;musicbrainz
minimal,29,241,discogs;musicbrainz
minimal synth,3,43,discogs;musicbrainz
minimal techno,1,2,discogs;musicbrainz
minimal wave,2,22,discogs;musicbrainz
minimalism,1,2,musicbrainz
mod,3,41,musicbrainz
modal,16,112,discogs;musicbrainz
modal jazz,6,30,discogs;musicbrainz
modern classical,31,304,discogs;musicbrainz
motown,2,24,discogs;musicbrainz
mpb,4,49,discogs;musicbrainz
music hall,1,65,musicbrainz
musique concrète,1,6,discogs;musicbrainz
neo acoustic,1,10,musicbrainz
neo classical,4,41,discogs;musicbrainz
neo progressive rock,1,7,discogs;musicbrainz
neo psychedelia,54,631,discogs;musicbrainz
neo romantic,1,20,discogs;musicbrainz
neo soul,29,402,discogs;musicbrainz
neoclassical new age,1,14,discogs;musicbrainz
neofolk,4,25,musicbrainz
new age,54,448,discogs;musicbrainz
new jack swing,1,17,discogs;musicbrainz
new rave,2,19,discogs;musicbrainz
new wave,50,697,discogs;musicbrainz
no wave,16,220,discogs;musicbrainz
noise,31,326,discogs;musicbrainz
noise pop,26,343,discogs;musicbrainz
noise rock,62,765,discogs;musicbrainz
non music,8,81,discogs;musicbrainz
northern soul,1,11,discogs;musicbrainz
nu disco,7,65,discogs;musicbrainz
nu funk,1,13,discogs;musicbrainz
nu jazz,6,61,discogs;musicbrainz
nyū myūjikku,1,10,musicbrainz
orchestral,2,33,discogs;musicbrainz
orchestral music,1,15,musicbrainz
p funk,2,18,discogs;musicbrainz
p.funk,2,18,discogs;musicbrainz
parody,1,7,discogs
piano jazz,1,7,musicbrainz
piano rock,2,20,discogs;musicbrainz
plunderphonics,4,60,musicbrainz
poetry,1,11,discogs;musicbrainz
political,1,16,discogs;musicbrainz
political hip hop,8,93,discogs;musicbrainz
pop,400,4786,discogs;musicbrainz
pop punk,9,108,discogs;musicbrainz
pop rap,12,188,discogs;musicbrainz
pop rock,79,1070,discogs;musicbrainz
pop soul,19,266,discogs;musicbrainz
post bop,24,178,discogs;musicbrainz
post britpop,1,12,discogs;musicbrainz
post hardcore,26,354,discogs;musicbrainz
post industrial,4,43,discogs;musicbrainz
post minimalism,1,14,musicbrainz
post modern,2,31,discogs;musicbrainz
post punk,94,1281,discogs;musicbrainz
post punk revival,12,140,discogs;musicbrainz
post rock,102,1063,discogs;musicbrainz
power pop,8,135,discogs;musicbrainz
prog rock,12,117,discogs;musicbrainz
progressive,15,267,discogs;musicbrainz
progressive electronic,9,116,discogs;musicbrainz
progressive folk,4,83,discogs;musicbrainz
progressive house,1,9,discogs;musicbrainz
progressive metal,7,86,discogs;musicbrainz
progressive pop,10,106,discogs;musicbrainz
progressive rock,15,144,discogs;musicbrainz
progressive soul,2,32,discogs;musicbrainz
proto punk,5,45,musicbrainz
psychedelic,37,507,discogs;musicbrainz
psychedelic folk,17,186,discogs;musicbrainz
psychedelic pop,34,465,discogs;musicbrainz
psychedelic rock,88,1051,discogs;musicbrainz
psychedelic soul,6,75,discogs;musicbrainz
punk,79,1114,discogs;musicbrainz
punk poetry,1,11,discogs;musicbrainz
punk rock,16,197,discogs;musicbrainz
quiet storm,4,45,discogs;musicbrainz
r and b,46,610,discogs;musicbrainz
r b,5,79,discogs;musicbrainz
rap,1,6,discogs;musicbrainz
rap metal,1,12,musicbrainz
reggae,2,13,discogs;musicbrainz
rhythm and blues,10,124,discogs;musicbrainz
rnb,4,55,discogs;musicbrainz
rnb swing,2,31,discogs;musicbrainz
rock,1013,12184,discogs;musicbrainz
rock and roll,13,252,discogs;musicbrainz
samba,2,22,discogs;musicbrainz
sarcastic,1,12,musicbrainz
score,5,75,discogs;musicbrainz
self titled,1,9,musicbrainz
shibuya kei,1,12,discogs;musicbrainz
shoegaze,78,877,discogs;musicbrainz
shoegazer,1,13,musicbrainz
singer songwriter,47,549,discogs;musicbrainz
sketch comedy,1,27,discogs;musicbrainz
slacker rock,20,314,discogs;musicbrainz
slowcore,31,373,discogs;musicbrainz
sludge metal,6,68,discogs;musicbrainz
smooth jazz,5,50,discogs;musicbrainz
smooth soul,14,187,discogs;musicbrainz
soft rock,18,201,discogs;musicbrainz
sophisti pop,12,145,discogs;musicbrainz
soul,150,1726,discogs;musicbrainz
soul jazz,18,169,discogs;musicbrainz
sound art,2,14,discogs;musicbrainz
sound collage,4,39,discogs;musicbrainz
southern rap,1,16,musicbrainz
southern rock,1,11,discogs;musicbrainz
southern soul,6,58,discogs;musicbrainz
space age pop,1,14,discogs;musicbrainz
space ambient,1,10,musicbrainz
space rock,12,180,discogs;musicbrainz
space rock revival,10,152,discogs;musicbrainz
speed garage,1,9,musicbrainz
speed metal,1,8,discogs;musicbrainz
spiritual jazz,11,81,discogs;musicbrainz
spirituals,1,10,discogs
spoken word,5,49,discogs;musicbrainz
stage and screen,16,155,discogs;musicbrainz
stoner metal,1,15,discogs;musicbrainz
stoner rock,3,39,discogs;musicbrainz
sunshine pop,1,13,musicbrainz
surf,5,74,discogs;musicbrainz
surf rock,8,111,discogs;musicbrainz
swing,5,71,discogs;musicbrainz
symphonic prog,1,6,musicbrainz
symphonic rock,2,7,discogs;musicbrainz
synth funk,12,137,discogs;musicbrainz
synth pop,95,1111,discogs;musicbrainz
synthpop,2,20,discogs;musicbrainz
synthwave,4,53,discogs;musicbrainz
tape music,2,20,musicbrainz
tech house,2,11,discogs;musicbrainz
technical,1,6,discogs;musicbrainz
techno,46,297,discogs;musicbrainz
theme,2,14,discogs;musicbrainz
third stream,2,23,musicbrainz
thrash,1,8,discogs;musicbrainz
thrash metal,1,8,discogs;musicbrainz
totalism,1,7,discogs;musicbrainz
traditional pop,2,24,musicbrainz
trance,1,9,musicbrainz
transcendental auditory experience,1,8,musicbrainz
trap,8,110,discogs;musicbrainz
trap soul,1,12,discogs;musicbrainz
tribal,1,10,discogs
trip hop,8,94,discogs;musicbrainz
turntablism,1,23,discogs;musicbrainz
twee pop,2,20,discogs;musicbrainz
uk garage,4,43,discogs;musicbrainz
uk rave,1,15,discogs;musicbrainz
uk street soul,3,26,musicbrainz
underground hip hop,2,35,discogs;musicbrainz
urban,1,11,musicbrainz
urban cowboy,1,12,musicbrainz
urban crossover,1,18,discogs;musicbrainz
utopian virtual,1,13,musicbrainz
vaporwave,3,36,musicbrainz
visual album,1,13,musicbrainz
vocal,6,50,discogs;musicbrainz
vocal jazz,1,6,musicbrainz
west coast hip hop,5,76,discogs;musicbrainz
western classical,1,8,musicbrainz
whalecore,1,10,discogs;musicbrainz
wonky,3,40,discogs;musicbrainz
world,96,982,discogs;musicbrainz
worldbeat,1,10,musicbrainz
yacht rock,1,12,musicbrainz
zolo,1,5,discogs;musicbrainz
zydeco,1,27,discogs;musicbrainz
