genre,reason,apis,count
,empty,['lastfm'],1
00s,year_or_decade,['lastfm'],1
100,pure_numeric,['lastfm'],1
1001 albums you must hear before you die,list_ranking_meta,['lastfm'],1
1002,pure_numeric,['lastfm'],1
10s,year_or_decade,['lastfm'],1
11,pure_numeric,['lastfm'],1
16bit 44100hz,audio_tech_meta,['lastfm'],1
1950s,year_or_decade,['lastfm'],1
1957,pure_numeric,['lastfm'],1
1958,pure_numeric,['lastfm'],1
1959,pure_numeric,['lastfm'],1
1960,pure_numeric,['lastfm'],1
1961,pure_numeric,['lastfm'],1
1962,pure_numeric,['lastfm'],1
1963,pure_numeric,['lastfm'],1
1964,pure_numeric,['lastfm'],1
1965,pure_numeric,['lastfm'],1
1966,pure_numeric,['lastfm'],1
1967,pure_numeric,['lastfm'],1
1968,pure_numeric,['lastfm'],1
1969,pure_numeric,['lastfm'],1
1970,pure_numeric,['lastfm'],1
1970s,year_or_decade,['lastfm'],1
1971,pure_numeric,['lastfm'],1
1972,pure_numeric,['lastfm'],1
1973,pure_numeric,['lastfm'],1
1974,pure_numeric,['lastfm'],1
1975,pure_numeric,['lastfm'],1
1976,pure_numeric,['lastfm'],1
1977,pure_numeric,['lastfm'],1
1978,pure_numeric,['lastfm'],1
1979,pure_numeric,['lastfm'],1
1980,pure_numeric,['lastfm'],1
1980s,year_or_decade,['lastfm'],1
1981,pure_numeric,['lastfm'],1
1982,pure_numeric,['lastfm'],1
1983,pure_numeric,['lastfm'],1
1984,pure_numeric,['lastfm'],1
1985,pure_numeric,['lastfm'],1
1986,pure_numeric,['lastfm'],1
1987,pure_numeric,['lastfm'],1
1988,pure_numeric,['lastfm'],1
1989,pure_numeric,['lastfm'],1
1990,pure_numeric,['lastfm'],1
1990s,year_or_decade,['lastfm'],1
1991,pure_numeric,['lastfm'],1
1992,pure_numeric,['lastfm'],1
1993,pure_numeric,['lastfm'],1
1994,pure_numeric,['lastfm'],1
1995,pure_numeric,['lastfm'],1
1996,pure_numeric,"['lastfm', 'musicbrainz']",2
1997,pure_numeric,['lastfm'],1
1998,pure_numeric,['lastfm'],1
1999,pure_numeric,['lastfm'],1
2000,pure_numeric,['lastfm'],1
2000s,year_or_decade,['lastfm'],1
2001,pure_numeric,['lastfm'],1
2002,pure_numeric,['lastfm'],1
2003,pure_numeric,['lastfm'],1
2004,pure_numeric,['lastfm'],1
2005,pure_numeric,['lastfm'],1
2006,pure_numeric,['lastfm'],1
2007,pure_numeric,['lastfm'],1
2008,pure_numeric,['lastfm'],1
2009,pure_numeric,['lastfm'],1
2010,pure_numeric,['lastfm'],1
2010s,year_or_decade,"['lastfm', 'musicbrainz']",2
2011,pure_numeric,['lastfm'],1
2012,pure_numeric,['lastfm'],1
2012 releases,list_or_release_meta,['lastfm'],1
2013,pure_numeric,['lastfm'],1
2013 releases,list_or_release_meta,['lastfm'],1
2014,pure_numeric,['lastfm'],1
2014 releases,list_or_release_meta,['lastfm'],1
2015,pure_numeric,['lastfm'],1
2016,pure_numeric,['lastfm'],1
2016 releases,list_or_release_meta,['lastfm'],1
2017,pure_numeric,['lastfm'],1
2017 releases,list_or_release_meta,['lastfm'],1
2018,pure_numeric,['lastfm'],1
2019,pure_numeric,['lastfm'],1
2020,pure_numeric,['lastfm'],1
2020s,year_or_decade,['lastfm'],1
2021,pure_numeric,['lastfm'],1
2021 releases,list_or_release_meta,['lastfm'],1
2022,pure_numeric,['lastfm'],1
2022 releases,list_or_release_meta,['lastfm'],1
2023,pure_numeric,['lastfm'],1
2023 releases,list_or_release_meta,['lastfm'],1
2024,pure_numeric,['lastfm'],1
2025,pure_numeric,['lastfm'],1
3,pure_numeric,['lastfm'],1
50s,year_or_decade,['lastfm'],1
60s,year_or_decade,"['lastfm', 'musicbrainz']",2
70s,year_or_decade,['lastfm'],1
808,pure_numeric,['lastfm'],1
80s,year_or_decade,['lastfm'],1
90s,year_or_decade,['lastfm'],1
a campire and a tent and a flashlight and some matches and a tree and that river and my glasses and a spaceship and a really really big bear but the bear is really really far away,too_long_meta_or_prose,['lastfm'],1
a perfect ending to a perfect album,commentary_meta,['lastfm'],1
album collection,collection_meta,['lastfm'],1
albums to listen to while lying in bed completely alone with my eyes closed and all lights off thinking about nothing at all and just letting myself go,too_long_meta_or_prose,['lastfm'],1
all the cds i own and have yet to hear,collection_meta,['lastfm'],1
alternative; indie pop; indie rock,multi_tag_composite,['lastfm'],1
alternative; indie rock; pop rock; rock,multi_tag_composite,['lastfm'],1
best albums of 1973,list_or_release_meta,['lastfm'],1
best albums of 2011,list_or_release_meta,['lastfm'],1
best albums of 2014,list_or_release_meta,['lastfm'],1
best albums of the 1960's,list_or_release_meta,['lastfm'],1
best albums of the 1990s,list_or_release_meta,['lastfm'],1
best of 1998,list_or_release_meta,['lastfm'],1
best of 2004,list_or_release_meta,['lastfm'],1
best of 2005,list_or_release_meta,['lastfm'],1
best of 2006,list_or_release_meta,['lastfm'],1
best of 2007,list_or_release_meta,['lastfm'],1
best of 2008,list_or_release_meta,['lastfm'],1
best of 2009,list_or_release_meta,['lastfm'],1
best of 2010,list_or_release_meta,['lastfm'],1
best of 2011,list_or_release_meta,['lastfm'],1
best of 2012,list_or_release_meta,['lastfm'],1
best of 2013,list_or_release_meta,['lastfm'],1
best of 2014,list_or_release_meta,['lastfm'],1
best of 2015,list_or_release_meta,['lastfm'],1
best of 2016,list_or_release_meta,['lastfm'],1
best of 2017,list_or_release_meta,['lastfm'],1
best of 2018,list_or_release_meta,['lastfm'],1
best of 2019,list_or_release_meta,['lastfm'],1
best of 2020,list_or_release_meta,['lastfm'],1
best of 2022,list_or_release_meta,['lastfm'],1
best of 2023,list_or_release_meta,['lastfm'],1
best of 2024,list_or_release_meta,['lastfm'],1
brazilian; funk; latin; pop; soul,multi_tag_composite,['lastfm'],1
cds i own and have yet to hear,collection_meta,['lastfm'],1
collection,collection_meta,['lastfm'],1
de zeven reizen van sinbad de zeeman,too_long_meta_or_prose,['lastfm'],1
does shoe glaze make shoes shinier or taste better,too_long_meta_or_prose,['lastfm'],1
experimental stuff i cannot put my finger on,commentary_meta,['lastfm'],1
freddie hubbard-first light-live,too_long_meta_or_prose,['lastfm'],1
funk_add_to_lidarr_batch_11,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_14,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_16,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_18,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_19,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_20,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_21,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_22,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_23,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_25,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_26,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_29,automation_meta,['lastfm'],1
funk_add_to_lidarr_batch_8,automation_meta,['lastfm'],1
he is the guy who sings last time i saw richard,too_long_meta_or_prose,['lastfm'],1
home collection,collection_meta,['lastfm'],1
hypnagogic pop or bedroom pop or whatever,too_long_meta_or_prose,['lastfm'],1
james-joul - 2017 releases - albums and eps,list_or_release_meta,['lastfm'],1
"jazz, latin, funk / soul, folk, world, & country",too_long_meta_or_prose,['lastfm'],1
jazz; latin; funk / soul; world,multi_tag_composite,['lastfm'],1
jazz; rock; funk / soul; aor,multi_tag_composite,['lastfm'],1
lesser known yet streamable artists,commentary_meta,['lastfm'],1
like being smothered in a dirty chenille blanket and that is a good thing,too_long_meta_or_prose,['lastfm'],1
love-sickness emergency-care-kitt,commentary_meta,['lastfm'],1
maria peszek wymyslilaby dla tego zjawiska muzycznego jakis cudny neologizm,too_long_meta_or_prose,['lastfm'],1
music to get the pussy wet,mood_sentence,['lastfm'],1
my collection,collection_meta,['lastfm'],1
nu-bluz funky grooves in the e-lounge,commentary_meta,['lastfm'],1
pitchfork top 100 albums of the 1990s,list_ranking_meta,['lastfm'],1
psychedelic alternative doom post-sludge metal,too_long_meta_or_prose,['lastfm'],1
quite possibly one of the best albums of 2010,list_or_release_meta,['lastfm'],1
releases,list_or_release_meta,['lastfm'],1
rocket s adventures with dj rocket,commentary_meta,['lastfm'],1
rolling stone 500 greatest albums of all time,list_ranking_meta,['lastfm'],1
rs top 100 albums 00s,list_ranking_meta,['lastfm'],1
songs that you wanna listen to over and over again,too_long_meta_or_prose,['lastfm'],1
songs to play after getting dumped when all you can do is lie facedown in your pillow,mood_sentence,['lastfm'],1
sound performances and installations,commentary_meta,['lastfm'],1
spotify,platform_meta,['lastfm'],1
top progressive metal albums of all time,list_or_release_meta,['lastfm'],1
two or more artists with the same name,commentary_meta,['lastfm'],1
under 2000 listeners,listener_count_meta,['lastfm'],1
under 2000 spotify followers,platform_meta,['lastfm'],1
what the hell happened to my taste in music,commentary_meta,['lastfm'],1
bitpop,audio_tech_meta,['musicbrainz'],1
bittersweet,audio_tech_meta,['musicbrainz'],1
transcendental auditory experience,commentary_meta,['musicbrainz'],1
genre,album_count,track_count,sources,suspect_reason
1996,1,10,musicbrainz,year_or_decade_token
2-step,1,9,musicbrainz,manual_review
60s,1,14,musicbrainz,year_or_decade_token
aaron,1,15,musicbrainz,manual_review
avocado on cover,1,12,musicbrainz,cover_or_artwork_meta
bassline,1,9,musicbrainz,manual_review
bitpop,1,12,musicbrainz,manual_review
bittersweet,1,14,musicbrainz,manual_review
black metal,1,12,musicbrainz,manual_review
bowie,1,10,musicbrainz,manual_review
broken transmission,1,17,musicbrainz,manual_review
c86,1,16,musicbrainz,manual_review
cat on cover,1,9,musicbrainz,cover_or_artwork_meta
chanson,1,11,discogs,manual_review
drugs,1,14,musicbrainz,manual_review
early pop/rock,1,24,musicbrainz,manual_review
ebm,1,10,musicbrainz,manual_review
eclectic,1,14,musicbrainz,manual_review
epic collage,1,13,musicbrainz,manual_review
sarcastic,1,12,musicbrainz,manual_review
self-titled,1,9,musicbrainz,manual_review
animal on cover,2,21,musicbrainz,cover_or_artwork_meta
artist on cover,2,26,musicbrainz,cover_or_artwork_meta
theme,2,14,discogs,manual_review
