genre,album_count,track_count,sources,suspect_reason
1996,1,10,musicbrainz,year_or_decade_token
2-step,1,9,musicbrainz,manual_review
60s,1,14,musicbrainz,year_or_decade_token
aaron,1,15,musicbrainz,manual_review
acid breaks,1,12,musicbrainz,manual_review
acid house,1,5,musicbrainz,manual_review
adult alternative pop/rock,1,12,musicbrainz,manual_review
afro house,1,16,musicbrainz,manual_review
afro-cuban,1,4,discogs,manual_review
alt-country,1,11,musicbrainz,manual_review
alternative rap,1,16,musicbrainz,manual_review
ambient dub,1,8,musicbrainz,manual_review
american primitive guitar,1,4,musicbrainz,manual_review
anarcho-punk,1,10,musicbrainz,manual_review
atmospheric drum and bass,1,10,musicbrainz,manual_review
avocado on cover,1,12,musicbrainz,cover_or_artwork_meta
ballroom house,1,16,musicbrainz,manual_review
bassline,1,9,musicbrainz,manual_review
bitpop,1,12,musicbrainz,manual_review
bittersweet,1,14,musicbrainz,manual_review
black metal,1,12,musicbrainz,manual_review
blaxploitation,1,14,musicbrainz,manual_review
bluegrass,1,27,discogs,manual_review
bowie,1,10,musicbrainz,manual_review
boy band,1,12,musicbrainz,manual_review
braindance,1,11,musicbrainz,manual_review
brit pop,1,16,musicbrainz,manual_review
british rhythm blues,1,14,musicbrainz,manual_review
broken transmission,1,17,musicbrainz,manual_review
brostep,1,9,musicbrainz,non_genre_phrase
bubblegum pop,1,12,musicbrainz,manual_review
c86,1,16,musicbrainz,manual_review
cat on cover,1,9,musicbrainz,cover_or_artwork_meta
chamber jazz,1,6,musicbrainz,manual_review
chamber music,1,2,musicbrainz,manual_review
chanson,1,11,discogs,manual_review
chicago soul,1,10,musicbrainz,manual_review
christmas,1,12,musicbrainz,manual_review
classic soul r b,1,21,musicbrainz,manual_review
coldwave,1,16,musicbrainz,manual_review
college rock,1,27,musicbrainz,manual_review
comedy rock,1,9,musicbrainz,manual_review
contemporary r b,1,18,musicbrainz,manual_review
country folk,1,9,musicbrainz,manual_review
country soul,1,27,musicbrainz,manual_review
crossover jazz,1,13,musicbrainz,manual_review
dance punk,1,11,musicbrainz,manual_review
dance-punk revival,1,5,musicbrainz,manual_review
dark jazz,1,12,discogs,manual_review
darksynth,1,10,musicbrainz,manual_review
darkwave,1,10,musicbrainz,manual_review
deep funk,1,16,musicbrainz,manual_review
dirty south,1,16,musicbrainz,manual_review
doo wop,1,12,discogs,manual_review
doo-wop,1,12,musicbrainz,manual_review
drugs,1,14,musicbrainz,manual_review
early pop/rock,1,24,musicbrainz,manual_review
ebm,1,10,musicbrainz,manual_review
eclectic,1,14,musicbrainz,manual_review
electro-disco,1,14,musicbrainz,manual_review
electro-industrial,1,10,musicbrainz,manual_review
emo rap,1,13,musicbrainz,manual_review
epic collage,1,13,musicbrainz,manual_review
exotica,1,12,musicbrainz,manual_review
experimental big band,1,5,musicbrainz,manual_review
female vocalist,1,18,musicbrainz,manual_review
field recording,1,11,musicbrainz,manual_review
flamenco pop,1,15,musicbrainz,manual_review
folk baroque,1,11,musicbrainz,manual_review
folk metal,1,16,musicbrainz,manual_review
folk punk,1,12,musicbrainz,manual_review
free folk,1,12,musicbrainz,manual_review
freestyle,1,9,musicbrainz,manual_review
funk metal,1,12,musicbrainz,manual_review
future pop,1,20,discogs,manual_review
g-funk,1,16,discogs,manual_review
garage house,1,12,musicbrainz,manual_review
go-go,1,27,discogs,manual_review
goth rock,1,28,musicbrainz,manual_review
gothic,1,7,musicbrainz,manual_review
gothic rock,1,28,musicbrainz,manual_review
happy hardcore,1,13,discogs,manual_review
hauntology,1,23,musicbrainz,manual_review
hip hop soul,1,13,musicbrainz,manual_review
hip-house,1,15,discogs,manual_review
horrorcore,1,18,musicbrainz,manual_review
illbient,1,11,discogs,manual_review
impressionist,1,20,discogs,manual_review
industrial metal,1,10,musicbrainz,manual_review
industrial rock,1,10,musicbrainz,manual_review
instrumental rock,1,9,musicbrainz,manual_review
j dilla,1,12,musicbrainz,manual_review
j-rock,1,9,discogs,manual_review
jam band,1,14,musicbrainz,manual_review
jazz blues,1,12,musicbrainz,manual_review
madchester,1,12,musicbrainz,manual_review
makina,1,13,discogs,manual_review
miami bass,1,10,musicbrainz,manual_review
microhouse,1,16,musicbrainz,manual_review
microsound,1,15,musicbrainz,manual_review
midtempo bass,1,10,musicbrainz,manual_review
miles davis,1,11,musicbrainz,manual_review
minimal techno,1,2,musicbrainz,manual_review
minimalism,1,2,musicbrainz,manual_review
music hall,1,65,musicbrainz,manual_review
musique concrète,1,6,discogs,manual_review
neo-acoustic,1,10,musicbrainz,manual_review
neo-progressive rock,1,7,musicbrainz,manual_review
neo-romantic,1,20,discogs,manual_review
neoclassical new age,1,14,musicbrainz,manual_review
new jack swing,1,17,musicbrainz,manual_review
northern soul,1,11,musicbrainz,manual_review
nu funk,1,13,musicbrainz,manual_review
nyū myūjikku,1,10,musicbrainz,manual_review
orchestral music,1,15,musicbrainz,manual_review
parody,1,7,discogs,manual_review
piano jazz,1,7,musicbrainz,manual_review
poetry,1,11,musicbrainz,manual_review
political,1,16,musicbrainz,manual_review
post-britpop,1,12,musicbrainz,non_genre_phrase
post-minimalism,1,14,musicbrainz,non_genre_phrase
prog-rock,1,6,musicbrainz,manual_review
progressive house,1,9,musicbrainz,manual_review
punk poetry,1,11,musicbrainz,manual_review
rap,1,6,musicbrainz,manual_review
rap metal,1,12,musicbrainz,manual_review
rock roll,1,11,discogs,manual_review
rock/pop,1,13,musicbrainz,manual_review
sarcastic,1,12,musicbrainz,manual_review
self-titled,1,9,musicbrainz,manual_review
shibuya-kei,1,12,musicbrainz,manual_review
shoegazer,1,13,musicbrainz,manual_review
sketch comedy,1,27,musicbrainz,manual_review
southern rap,1,16,musicbrainz,manual_review
southern rock,1,11,musicbrainz,manual_review
space age pop,1,14,musicbrainz,manual_review
space ambient,1,10,musicbrainz,manual_review
speed garage,1,9,musicbrainz,manual_review
speed metal,1,8,discogs;musicbrainz,manual_review
spirituals,1,10,discogs,manual_review
stoner metal,1,15,musicbrainz,manual_review
sunshine pop,1,13,musicbrainz,manual_review
swing,1,16,musicbrainz,manual_review
symphonic prog,1,6,musicbrainz,manual_review
technical,1,6,musicbrainz,manual_review
thrash,1,8,discogs,manual_review
thrash metal,1,8,musicbrainz,manual_review
totalism,1,7,musicbrainz,manual_review
trance,1,9,musicbrainz,manual_review
transcendental auditory experience,1,8,musicbrainz,manual_review
trap soul,1,12,musicbrainz,manual_review
tribal,1,10,discogs,manual_review
trip-hop,1,10,musicbrainz,manual_review
turntablism,1,23,musicbrainz,manual_review
uk rave,1,15,musicbrainz,manual_review
urban,1,11,musicbrainz,manual_review
urban cowboy,1,12,musicbrainz,manual_review
urban crossover,1,18,musicbrainz,manual_review
utopian virtual,1,13,musicbrainz,manual_review
visual album,1,13,musicbrainz,manual_review
vocal jazz,1,6,musicbrainz,manual_review
western classical,1,8,musicbrainz,manual_review
whalecore,1,10,musicbrainz,manual_review
worldbeat,1,10,musicbrainz,manual_review
yacht rock,1,12,musicbrainz,manual_review
zolo,1,5,musicbrainz,manual_review
zydeco,1,27,discogs,manual_review
afro-cuban jazz,2,27,discogs;musicbrainz,manual_review
afrobeats,2,29,musicbrainz,manual_review
alt rock,2,16,musicbrainz,manual_review
alternative/indie rock,2,21,musicbrainz,manual_review
américain,2,15,musicbrainz,manual_review
animal on cover,2,21,musicbrainz,cover_or_artwork_meta
artist on cover,2,26,musicbrainz,cover_or_artwork_meta
avant-garde pop,2,29,musicbrainz,manual_review
bass music,2,22,discogs,manual_review
bebop,2,19,musicbrainz,manual_review
berlin school,2,14,musicbrainz,manual_review
big band,2,28,musicbrainz,manual_review
bossanova,2,18,discogs,manual_review
breakcore,2,22,musicbrainz,manual_review
british folk rock,2,20,musicbrainz,manual_review
cloud rap,2,26,musicbrainz,manual_review
club,2,35,musicbrainz,manual_review
contemporary pop/rock,2,23,musicbrainz,manual_review
country pop,2,39,musicbrainz,manual_review
dark wave,2,23,musicbrainz,manual_review
electronica dance,2,24,musicbrainz,manual_review
emo pop,2,33,musicbrainz,manual_review
emocore,2,40,musicbrainz,manual_review
english,2,21,musicbrainz,manual_review
footwork,2,21,discogs,manual_review
funky house,2,19,musicbrainz,manual_review
gangsta rap,2,39,musicbrainz,manual_review
hip house,2,26,musicbrainz,manual_review
italo-disco,2,21,discogs;musicbrainz,manual_review
jazz funk,2,13,musicbrainz,manual_review
jazz instrument,2,11,musicbrainz,manual_review
math pop,2,15,musicbrainz,manual_review
minimal wave,2,22,musicbrainz,manual_review
motown,2,24,musicbrainz,manual_review
neo-soul,2,31,musicbrainz,manual_review
new rave,2,19,musicbrainz,manual_review
nu-disco,2,12,discogs,manual_review
orchestral,2,33,musicbrainz,manual_review
p-funk,2,18,musicbrainz,manual_review
p.funk,2,18,discogs;musicbrainz,manual_review
piano rock,2,20,musicbrainz,manual_review
post-modern,2,31,discogs,non_genre_phrase
progressive soul,2,32,musicbrainz,manual_review
reggae,2,13,musicbrainz,manual_review
rnb swing,2,31,musicbrainz,manual_review
samba,2,22,discogs;musicbrainz,manual_review
sound art,2,14,discogs;musicbrainz,manual_review
symphonic rock,2,7,discogs;musicbrainz,manual_review
synthpop,2,20,musicbrainz,manual_review
tape music,2,20,musicbrainz,manual_review
tech house,2,11,discogs;musicbrainz,manual_review
theme,2,14,discogs,manual_review
third stream,2,23,musicbrainz,manual_review
traditional pop,2,24,musicbrainz,manual_review
twee pop,2,20,musicbrainz,manual_review
underground hip hop,2,35,musicbrainz,manual_review
acid jazz,3,41,discogs;musicbrainz,manual_review
alternative metal,3,41,musicbrainz,manual_review
am pop,3,39,musicbrainz,manual_review
aor,3,31,discogs;musicbrainz,manual_review
baroque,3,42,discogs;musicbrainz,manual_review
berlin-school,3,31,discogs,manual_review
blue-eyed soul,3,30,musicbrainz,manual_review
bop,3,20,discogs;musicbrainz,manual_review
british blues,3,33,musicbrainz,manual_review
britpop,3,76,musicbrainz,manual_review
bubblegum,3,36,discogs;musicbrainz,manual_review
city pop,3,37,discogs;musicbrainz,manual_review
dancehall,3,39,discogs;musicbrainz,manual_review
doom metal,3,35,musicbrainz,manual_review
drum n bass,3,33,discogs,manual_review
edm,3,51,musicbrainz,manual_review
electro house,3,48,discogs;musicbrainz,manual_review
europop,3,32,discogs;musicbrainz,manual_review
freak folk,3,37,musicbrainz,manual_review
funktronica,3,49,musicbrainz,manual_review
future funk,3,30,musicbrainz,manual_review
glitch pop,3,35,musicbrainz,manual_review
hardcore hip-hop,3,42,discogs,manual_review
holiday,3,33,discogs,manual_review
indie surf,3,34,musicbrainz,manual_review
merseybeat,3,41,musicbrainz,manual_review
midwest emo,3,51,discogs;musicbrainz,manual_review
minimal synth,3,43,musicbrainz,manual_review
mod,3,41,musicbrainz,manual_review
stoner rock,3,39,discogs;musicbrainz,manual_review
uk street soul,3,26,musicbrainz,manual_review
vaporwave,3,36,musicbrainz,manual_review
wonky,3,40,musicbrainz,manual_review
